waya	w a y a
baabwe	b a a b w e
abasajja	a b a s a j j a
namuli	n a m u l i
abasinga	a b a s i n g a
alowooza	a l o w o o z a
lweggwanga	l w e g g w a n g a
namugamba	n a m u g a m b a
gaba	g a b a
munne	m u n n e
tabaaga	t a b a a g a
gwebintu	g w e b i n t u
kwonna	k w o n n a
buweereza	b u w e e r e z a
mubala	m u b a l a
kwesiga	k w e s i g a
ozikozese	o z i k o z e s e
ffenna	f f e n n a
yatuweereza	y a t u w e e r e z a
ezimu	e z i m u
alemererwe	a l e m e r e r w e
mbadde	m b a d d e
lukwe	l u k w e
nattidde	n a t t i d d e
kukusanyusa	k u k u s a n y u s a
kubunyisa	k u b u n y i s a
poliisi	p o l i i s i
okwerabira	o k w e r a b i r a
tegalimu	t e g a l i m u
olukiiko	o l u k i i k o
nabbosa	n a b b o s a
wemyaka	w e m y a k a
lyebisolo	l y e b i s o l o
amanyi	a m a n y i
misango	m i s a n g o
ebisomesebwa	e b i s o m e s e b w a
noolwekyo	n o o l w e k y o
lubuto	l u b u t o
bajja	b a j j a
omu	o m u
kwakawuka	k w a k a w u k a
waalyo	w a a l y o
byobulimi	b y o b u l i m i
eyeebase	e y e e b a s e
bunyuma	b u n y u m a
bututandise	b u t u t a n d i s e
ensaamusaamu	e n s a a m u s a a m u
nfuna	n f u n a
ngabalala	n g a b a l a l a
kimenya	k i m e n y a
mungeri	m u n g e r i
nsanyufu	n s a n y u f u
ate	a t e
nakatundutundu	n a k a t u n d u t u n d u
okumuyamba	o k u m u y a m b a
okubaawo	o k u b a a w o
baggya	b a g g y a
ekiraamo	e k i r a a m o
okutiisatiisa	o k u t i i s a t i i s a
bawala	b a w a l a
okwagalibwa	o k w a g a l i b w a
bwova	b w o v a
yokumulirwano	y o k u m u l i r w a n o
gugenda	g u g e n d a
okuvuvungana	o k u v u v u n g a n a
kinkontana	k i n k o n t a n a
betaaga	b e t a a g a
ogwokusatu	o g w o k u s a t u
ategeezezza	a t e g e e z e z z a
nti	n t i
munnange	m u n n a n g e
bw’obutiti	b w ’ o b u t i t i
ggwanga	g g w a n g a
kiragiro	k i r a g i r o
n’enteekerateekera	n ’ e n t e e k e r a t e e k e r a
bavubuka	b a v u b u k a
bamutuma	b a m u t u m a
ali	a l i
lyabantu	l y a b a n t u
bazannyira	b a z a n n y i r a
atuula	a t u u l a
beetegefu	b e e t e g e f u
sikaala	s i k a a l a
omusogozi	o m u s o g o z i
semina	s e m i n a
ssaabaminisita	s s a a b a m i n i s i t a
okuliisibwa	o k u l i i s i b w a
anaatera	a n a a t e r a
ensaamusaamu	e n s a a m u s a a m u
abaagalwa	a b a a g a l w a
nettaka	n e t t a k a
maaso	m a a s o
yavunaaniddwa	y a v u n a a n i d d w a
kumalamu	k u m a l a m u
omusirikale	o m u s i r i k a l e
togezaako	t o g e z a a k o
ke	k e
ngabasomesa	n g a b a s o m e s a
lyaffe	l y a f f e
ateekeddwa	a t e e k e d d w a
okugaba	o k u g a b a
busuulu	b u s u u l u
kulungi	k u l u n g i
ago	a g o
ebbali	e b b a l i
okukeberebwa	o k u k e b e r e b w a
obunyama	o b u n y a m a
ekiyitibwa	e k i y i t i b w a
nsaba	n s a b a
ekikoola	e k i k o o l a
kizibwe	k i z i b w e
ngava	n g a v a
nabiryo	n a b i r y o
ekibonerezo	e k i b o n e r e z o
bwamufuula	b w a m u f u u l a
emigattabantu	e m i g a t t a b a n t u
leero	l e e r o
guvuga	g u v u g a
kivunaanyibwa	k i v u n a a n y i b w a
abaami	a b a a m i
ku	k u
ebikwekweto	e b i k w e k w e t o
enkyukakyuka	e n k y u k a k y u k a
bw’ensi	b w ’ e n s i
okufuna	o k u f u n a
kumalawo	k u m a l a w o
biweze	b i w e z e
akyalire	a k y a l i r e
bafuna	b a f u n a
essanyu	e s s a n y u
eyimiridde	e y i m i r i d d e
ebyenjawulo	e b y e n j a w u l o
yobukaba	y o b u k a b a
olwafulumiziddwa	o l w a f u l u m i z i d d w a
emiganyulo	e m i g a n y u l o
akafaananyi	a k a f a a n a n y i
okulangibwa	o k u l a n g i b w a
kitya	k i t y a
okufa	o k u f a
kisaana	k i s a a n a
olwaleero	o l w a l e e r o
abambuuzizza	a b a m b u u z i z z a
kavuddemu	k a v u d d e m u
abbey	a b b e y
nokuba	n o k u b a
biramu	b i r a m u
obukiikakkono	o b u k i i k a k k o n o
bayita	b a y i t a
yemirimu	y e m i r i m u
yenjuki	y e n j u k i
omukebe	o m u k e b e
neddoboozi	n e d d o b o o z i
nneeraliikirizza	n n e e r a l i i k i r i z z a
gaalondebwa	g a a l o n d e b w a
abali	a b a l i
efunye	e f u n y e
emugobye	e m u g o b y e
zaabwe	z a a b w e
basuubirwa	b a s u u b i r w a
pulayimale	p u l a y i m a l e
bavaayo	b a v a a y o
ssaayansi	s s a a y a n s i
buzibu	b u z i b u
tumenyereyo	t u m e n y e r e y o
gujja	g u j j a
gyetuyinza	g y e t u y i n z a
beekwasa	b e e k w a s a
eziyingira	e z i y i n g i r a
butuyambye	b u t u y a m b y e
okubayambako	o k u b a y a m b a k o
ebigezo	e b i g e z o
twabadde	t w a b a d d e
bwaweddewo	b w a w e d d e w o
nobutabanguko	n o b u t a b a n g u k o
enkola	e n k o l a
mulungi	m u l u n g i
byensi	b y e n s i
eddungi	e d d u n g i
sijjukira	s i j j u k i r a
abakwatiddwa	a b a k w a t i d d w a
munnange	m u n n a n g e
bwekuluma	b w e k u l u m a
bwammwe	b w a m m w e
twafunangayo	t w a f u n a n g a y o
ngenda	n g e n d a
mu	m u
okutereeza	o k u t e r e e z a
kyenda	k y e n d a
ssennyiga	s s e n n y i g a
atutte	a t u t t e
abiri	a b i r i
matono	m a t o n o
obupunta	o b u p u n t a
teweesiga	t e w e e s i g a
okusala	o k u s a l a
mwakubidde	m w a k u b i d d e
kufulumizibwa	k u f u l u m i z i b w a
disitulikiti	d i s i t u l i k i t i
ebbaluwa	e b b a l u w a
nebyokukola	n e b y o k u k o l a
yalabikiddeko	y a l a b i k i d d e k o
abakulu	a b a k u l u
eggwanga	e g g w a n g a
baasenguka	b a a s e n g u k a
abakazi	a b a k a z i
booda	b o o d a
otya	o t y a
kifo	k i f o
abayeekera	a b a y e e k e r a
katikkiro	k a t i k k i r o
obuyambi	o b u y a m b i
womukulembeze	w o m u k u l e m b e z e
omukozi	o m u k o z i
yatwala	y a t w a l a
amanene	a m a n e n e
gwali	g w a l i
abebyokwerinda	a b e b y o k w e r i n d a
omuyembe	o m u y e m b e
osanga	o s a n g a
ebipya	e b i p y a
waaliwo	w a a l i w o
bantu	b a n t u
ebyobugagga	e b y o b u g a g g a
buno	b u n o
wayagalira	w a y a g a l i r a
tezikyajja	t e z i k y a j j a
byolina	b y o l i n a
tewaliyo	t e w a l i y o
ebyavudde	e b y a v u d d e
abaaliko	a b a a l i k o
weggwanga	w e g g w a n g a
ebisinga	e b i s i n g a
kwewala	k w e w a l a
ekipande	e k i p a n d e
magoba	m a g o b a
bannansi	b a n n a n s i
namaliba	n a m a l i b a
mulundi	m u l u n d i
yamulagira	y a m u l a g i r a
tujja	t u j j a
obadde	o b a d d e
basigadde	b a s i g a d d e
okutekamu	o k u t e k a m u
okuwaayo	o k u w a a y o
ssente	s s e n t e
omusirikale	o m u s i r i k a l e
esomerwamu	e s o m e r w a m u
alina	a l i n a
byakoledde	b y a k o l e d d e
bulumya	b u l u m y a
basattira	b a s a t t i r a
ebyamaguzi	e b y a m a g u z i
okutuula	o k u t u u l a
okuwangula	o k u w a n g u l a
mikwano	m i k w a n o
obuzitawaanya	o b u z i t a w a a n y a
ebitundu	e b i t u n d u
egiri	e g i r i
lwabakyala	l w a b a k y a l a
kabona	k a b o n a
tegabaamu	t e g a b a a m u
bungi	b u n g i
omusiike	o m u s i i k e
wenkiiko	w e n k i i k o
zabavuganya	z a b a v u g a n y a
okugaana	o k u g a a n a
abakalamojja	a b a k a l a m o j j a
muzannyo	m u z a n n y o
bwenguzi	b w e n g u z i
obulumi	o b u l u m i
bataataaganya	b a t a a t a a g a n y a
tosaanidde	t o s a a n i d d e
okugoba	o k u g o b a
emigumu	e m i g u m u
toyomba	t o y o m b a
asikiriza	a s i k i r i z a
bwaba	b w a b a
ekisaawe	e k i s a a w e
zo	z o
ekiranga	e k i r a n g a
abo	a b o
abaganyuzi	a b a g a n y u z i
bali	b a l i
ekusuuza	e k u s u u z a
kukulaakulana	k u k u l a a k u l a n a
abazaala	a b a z a a l a
lwaki	l w a k i
ezitukula	e z i t u k u l a
emirimu	e m i r i m u
okukyenyigiramu	o k u k y e n y i g i r a m u
osaana	o s a a n a
teesa	t e e s a
bwangu	b w a n g u
kuzzaamu	k u z z a a m u
eggulo	e g g u l o
obulungi	o b u l u n g i
limu	l i m u
mawuggwe	m a w u g g w e
etaddewo	e t a d d e w o
yakyusibwa	y a k y u s i b w a
kampuni	k a m p u n i
byamuddamu	b y a m u d d a m u
beenyigira	b e e n y i g i r a
kimuggyako	k i m u g g y a k o
ebiteekeddwa	e b i t e e k e d d w a
boku	b o k u
buli	b u l i
ekinene	e k i n e n e
abalala	a b a l a l a
otegeera	o t e g e e r a
b’osobola	b ’ o s o b o l a
abalwadde	a b a l w a d d e
kusasula	k u s a s u l a
namugongo	n a m u g o n g o
okukomolebwa	o k u k o m o l e b w a
ennyingi	e n n y i n g i
omuto	o m u t o
wa	w a
okuziyizamu	o k u z i y i z a m u
amatooke	a m a t o o k e
busirisi	b u s i r i s i
mutwe	m u t w e
omwesibyeko	o m w e s i b y e k o
zamazzi	z a m a z z i
kyekisanja	k y e k i s a n j a
okufuuka	o k u f u u k a
yabaana	y a b a a n a
tegyagala	t e g y a g a l a
mugenda	m u g e n d a
wano	w a n o
mwaka	m w a k a
ssowani	s s o w a n i
byayo	b y a y o
obuveera	o b u v e e r a
muko	m u k o
ezimba	e z i m b a
muwogo	m u w o g o
amateeka	a m a t e e k a
bennyimba	b e n n y i m b a
nebinyeebwa	n e b i n y e e b w a
kasasiro	k a s a s i r o
omwami	o m w a m i
basobole	b a s o b o l e
mungi	m u n g i
kyolina	k y o l i n a
baagenti	b a a g e n t i
okugema	o k u g e m a
ebbanga	e b b a n g a
esatu	e s a t u
mwana	m w a n a
ssaagala	s s a a g a l a
tebafunye	t e b a f u n y e
oluvuganya	o l u v u g a n y a
yategezezza	y a t e g e z e z z a
kuteekeddwa	k u t e e k e d d w a
oyige	o y i g e
miti	m i t i
nduli	n d u l i
egyennaku	e g y e n n a k u
bimenya	b i m e n y a
gi	g i
byokubaluka	b y o k u b a l u k a
abato	a b a t o
akaguwa	a k a g u w a
omwerufu	o m w e r u f u
myaka	m y a k a
obuseere	o b u s e e r e
kulya	k u l y a
okubuulira	o k u b u u l i r a
kaabuze	k a a b u z e
egiteeke	e g i t e e k e
okubayimbula	o k u b a y i m b u l a
ayitidde	a y i t i d d e
kw’otadde	k w ’ o t a d d e
omutamiivu	o m u t a m i i v u
nakolera	n a k o l e r a
kirowoozo	k i r o w o o z o
enguzi	e n g u z i
kusaanyawo	k u s a a n y a w o
bikolebwa	b i k o l e b w a
ebijanjaalo	e b i j a n j a a l o
avunaanyizibwa	a v u n a a n y i z i b w a
nomu	n o m u
kyakuyigiriza	k y a k u y i g i r i z a
matono	m a t o n o
egyenkanankana	e g y e n k a n a n k a n a
eba	e b a
omukama	o m u k a m a
ekyemyaka	e k y e m y a k a
kikulu	k i k u l u
okukomyawo	o k u k o m y a w o
ebiri	e b i r i
gyo	g y o
endiirwa	e n d i i r w a
awaka	a w a k a
looni	l o o n i
ekyalo	e k y a l o
emu	e m u
amagombolola	a m a g o m b o l o l a
n’eddoboozi	n ’ e d d o b o o z i
gavumenti	g a v u m e n t i
konna	k o n n a
bayanirizibwa	b a y a n i r i z i b w a
emiggo	e m i g g o
muntu	m u n t u
kuzimba	k u z i m b a
bakazi	b a k a z i
bangi	b a n g i
muyanja	m u y a n j a
okulekulira	o k u l e k u l i r a
saagala	s a a g a l a
towulira	t o w u l i r a
zituuse	z i t u u s e
okwesigamya	o k w e s i g a m y a
ayambala	a y a m b a l a
tebalina	t e b a l i n a
tebafunangako	t e b a f u n a n g a k o
obululu	o b u l u l u
mulala	m u l a l a
kkanisa	k k a n i s a
obutagoberera	o b u t a g o b e r e r a
batondawo	b a t o n d a w o
ebigezo	e b i g e z o
mwanjo	m w a n j o
okukula	o k u k u l a
otunula	o t u n u l a
amaanyi	a m a a n y i
gyokwanjula	g y o k w a n j u l a
ttooyi	t t o o y i
omusujja	o m u s u j j a
bwoba	b w o b a
gaggyibwa	g a g g y i b w a
enkulu	e n k u l u
ova	o v a
ng’ekimu	n g ’ e k i m u
baabwe	b a a b w e
eribaweereddwa	e r i b a w e e r e d d w a
we	w e
balitandika	b a l i t a n d i k a
mirundi	m i r u n d i
omupiira	o m u p i i r a
kimaanya	k i m a a n y a
bbanka	b b a n k a
mukiibi	m u k i i b i
gwokuzimba	g w o k u z i m b a
abaliyo	a b a l i y o
ebibiina	e b i b i i n a
nebifo	n e b i f o
byamawulire	b y a m a w u l i r e
yavaayo	y a v a a y o
busatu	b u s a t u
ebizibu	e b i z i b u
okusaasaana	o k u s a a s a a n a
okuwagira	o k u w a g i r a
okubifunamu	o k u b i f u n a m u
okulayira	o k u l a y i r a
ngenkulu	n g e n k u l u
tali	t a l i
waakiri	w a a k i r i
bwensimbi	b w e n s i m b i
baminisita	b a m i n i s i t a
mutabani	m u t a b a n i
	
ngalina	n g a l i n a
byabanoonyi	b y a b a n o o n y i
emugga	e m u g g a
bafa	b a f a
kkumi	k k u m i
birina	b i r i n a
okusomera	o k u s o m e r a
ogwenkana	o g w e n k a n a
beetaga	b e e t a g a
erinnya	e r i n n y a
zokuleeta	z o k u l e e t a
by’okuzaala	b y ’ o k u z a a l a
obulindaala	o b u l i n d a a l a
kwambala	k w a m b a l a
aggyayo	a g g y a y o
zikola	z i k o l a
lule	l u l e
okusonyiyibwa	o k u s o n y i y i b w a
okutunda	o k u t u n d a
bentebbe	b e n t e b b e
ebyuma	e b y u m a
womukulu	w o m u k u l u
africa	a f r i c a
engassi	e n g a s s i
lyomusujja	l y o m u s u j j a
engulu	e n g u l u
ereeta	e r e e t a
ategeera	a t e g e e r a
ssaawa	s s a a w a
kugwa	k u g w a
obukookolo	o b u k o o k o l o
ssetendekero	s s e t e n d e k e r o
mwekuumenga	m w e k u u m e n g a
obwa	o b w a
tugende	t u g e n d e
okulowooza	o k u l o w o o z a
kisa	k i s a
baani	b a a n i
ababbi	a b a b b i
ebiseera	e b i s e e r a
okusimattuka	o k u s i m a t t u k a
ekyo	e k y o
akawuka	a k a w u k a
yagaana	y a g a a n a
kukotoggera	k u k o t o g g e r a
oluguudo	o l u g u u d o
mbidde	m b i d d e
ezeetagisa	e z e e t a g i s a
genjuba	g e n j u b a
akaagudde	a k a a g u d d e
siyinza	s i y i n z a
bakadde	b a k a d d e
kwali	k w a l i
twakola	t w a k o l a
baamuwa	b a a m u w a
kulonda	k u l o n d a
kaweefube	k a w e e f u b e
kyolowooza	k y o l o w o o z a
olwebeeya	o l w e b e e y a
masiki	m a s i k i
twewuunyizza	t w e w u u n y i z z a
kwabaneetaba	k w a b a n e e t a b a
okulwana	o k u l w a n a
okwekikungo	o k w e k i k u n g o
bisuubizo	b i s u u b i z o
byaffe	b y a f f e
pulogulamu	p u l o g u l a m u
kamu	k a m u
buvunaanyizibwa	b u v u n a a n y i z i b w a
amalirize	a m a l i r i z e
yanjulwa	y a n j u l w a
gwatwalibwa	g w a t w a l i b w a
ogwakutte	o g w a k u t t e
zokka	z o k k a
bakulu	b a k u l u
ndowooza	n d o w o o z a
abawala	a b a w a l a
kibuga	k i b u g a
amuzeeyo	a m u z e e y o
zebitundu	z e b i t u n d u
kulambula	k u l a m b u l a
emikolo	e m i k o l o
eyinza	e y i n z a
abakozi	a b a k o z i
ezannya	e z a n n y a
abapangisa	a b a p a n g i s a
ngekimu	n g e k i m u
bassenga	b a s s e n g a
eyonoonye	e y o n o o n y e
zabanoonyiboobubudamu	z a b a n o o n y i b o o b u b u d a m u
omubaka	o m u b a k a
eyimbule	e y i m b u l e
nekyeggulo	n e k y e g g u l o
esembezza	e s e m b e z z a
tugenda	t u g e n d a
birungo	b i r u n g o
kkooti	k k o o t i
awo	a w o
kulinda	k u l i n d a
byabalimi	b y a b a l i m i
maanyi	m a a n y i
okutendeka	o k u t e n d e k a
ekigatta	e k i g a t t a
ekyo	e k y o
wabawala	w a b a w a l a
bonna	b o n n a
ebiwandiikiddwa	e b i w a n d i i k i d d w a
mulekwa	m u l e k w a
gyasigazza	g y a s i g a z z a
nobwakabaka	n o b w a k a b a k a
mateeka	m a t e e k a
bwerazi	b w e r a z i
neddembe	n e d d e m b e
balamu	b a l a m u
oluguudo	o l u g u u d o
okwolesa	o k w o l e s a
abatwalira	a b a t w a l i r a
tetubifunye	t e t u b i f u n y e
baawukane	b a a w u k a n e
bikola	b i k o l a
emabegako	e m a b e g a k o
kontulakiti	k o n t u l a k i t i
okugondera	o k u g o n d e r a
yatongoza	y a t o n g o z a
obusawo	o b u s a w o
abagenda	a b a g e n d a
atukubiriza	a t u k u b i r i z a
kyaffe	k y a f f e
yasoma	y a s o m a
zomukago	z o m u k a g o
okunoonya	o k u n o o n y a
gaggalwa	g a g g a l w a
nabo	n a b o
azannye	a z a n n y e
baana	b a a n a
bategekeddwa	b a t e g e k e d d w a
okuboggola	o k u b o g g o l a
okusinziira	o k u s i n z i i r a
kukulako	k u k u l a k o
university	u n i v e r s i t y
	
bwerivaayo	b w e r i v a a y o
bebitundu	b e b i t u n d u
nga	n g a
gwebyensimbi	g w e b y e n s i m b i
kuleetera	k u l e e t e r a
yenna	y e n n a
ngateekako	n g a t e e k a k o
akimanyidde	a k i m a n y i d d e
emisoso	e m i s o s o
eyeddiiro	e y e d d i i r o
ttooyi	t t o o y i
kulitutwakako	k u l i t u t w a k a k o
okusaba	o k u s a b a
bulaaya	b u l a a y a
oluvannyuma	o l u v a n n y u m a
bulumye	b u l u m y e
enkonge	e n k o n g e
waliwo	w a l i w o
oyo	o y o
omukulu	o m u k u l u
namusobyako	n a m u s o b y a k o
nali	n a l i
atoloka	a t o l o k a
byeetago	b y e e t a g o
gaalemererwa	g a a l e m e r e r w a
kutegeega	k u t e g e e g a
byetaaga	b y e t a a g a
okukulemberamu	o k u k u l e m b e r a m u
okulondoola	o k u l o n d o o l a
litambula	l i t a m b u l a
yabbira	y a b b i r a
paasita	p a a s i t a
ngalo	n g a l o
bamuggyeko	b a m u g g y e k o
obwakabaka	o b w a k a b a k a
agiwulira	a g i w u l i r a
kyabantu	k y a b a n t u
eddembe	e d d e m b e
hajji	h a j j i
terefayina	t e r e f a y i n a
basigala	b a s i g a l a
namazzi	n a m a z z i
ziwoomerwa	z i w o o m e r w a
bunaggya	b u n a g g y a
ako	a k o
avunaanibwa	a v u n a a n i b w a
lirina	l i r i n a
teweereddwa	t e w e e r e d d w a
kalifuuwa	k a l i f u u w a
bye	b y e
okugabana	o k u g a b a n a
okuwumula	o k u w u m u l a
baalowooza	b a a l o w o o z a
kwakolebwa	k w a k o l e b w a
kasooli	k a s o o l i
asasula	a s a s u l a
yeetaagayo	y e e t a a g a y o
na	n a
tagoberedde	t a g o b e r e d d e
bizigo	b i z i g o
ebimutakula	e b i m u t a k u l a
abavuganya	a b a v u g a n y a
zino	z i n o
ekya	e k y a
muddo	m u d d o
eraga	e r a g a
ezo	e z o
bukomyewo	b u k o m y e w o
ekkuumiro	e k k u u m i r o
obwoka	o b w o k a
ezebitundu	e z e b i t u n d u
mateeka	m a t e e k a
emizannyo	e m i z a n n y o
kyennyonyi	k y e n n y o n y i
webuli	w e b u l i
olwokubulankanya	o l w o k u b u l a n k a n y a
ewa	e w a
ffenna	f f e n n a
bange	b a n g e
gyendi	g y e n d i
okukola	o k u k o l a
atukwatirwe	a t u k w a t i r w e
omusajja	o m u s a j j a
okumpuliriza	o k u m p u l i r i z a
kumpi	k u m p i
wababiri	w a b a b i r i
ziba	z i b a
ennyumba	e n n y u m b a
okugula	o k u g u l a
okwewandiisa	o k w e w a n d i i s a
obuwagizi	o b u w a g i z i
ddwaliro	d d w a l i r o
eziwerako	e z i w e r a k o
yavumbagira	y a v u m b a g i r a
ezekyemisana	e z e k y e m i s a n a
abamuddako	a b a m u d d a k o
bameka	b a m e k a
okukolebwa	o k u k o l e b w a
ebisigalira	e b i s i g a l i r a
okumanya	o k u m a n y a
lyobwannannyini	l y o b w a n n a n n y i n i
bwoyiseemu	b w o y i s e e m u
ekimu	e k i m u
emikisa	e m i k i s a
bifo	b i f o
abanoonyiboobubudamu	a b a n o o n y i b o o b u b u d a m u
yasomesezza	y a s o m e s e z z a
bizibu	b i z i b u
eejja	e e j j a
ekiro	e k i r o
egamba	e g a m b a
olwa	o l w a
ddembe	d d e m b e
oyagala	o y a g a l a
ngali	n g a l i
amakulu	a m a k u l u
kusoma	k u s o m a
abasirikirwa	a b a s i r i k i r w a
bwonna	b w o n n a
lwamazaalibwa	l w a m a z a a l i b w a
kutandika	k u t a n d i k a
twetaaga	t w e t a a g a
bw’amaliriza	b w ’ a m a l i r i z a
kunoonyereza	k u n o o n y e r e z a
amakolero	a m a k o l e r o
kwongera	k w o n g e r a
nolukalala	n o l u k a l a l a
tubadde	t u b a d d e
yokuzimba	y o k u z i m b a
ga	g a
banguze	b a n g u z e
mutono	m u t o n o
kuwandiika	k u w a n d i i k a
yendwadde	y e n d w a d d e
okwelabira	o k w e l a b i r a
kasaba	k a s a b a
bimuli	b i m u l i
ebigenda	e b i g e n d a
tulinze	t u l i n z e
okulya	o k u l y a
bwensimbi	b w e n s i m b i
bantu	b a n t u
kulonda	k u l o n d a
yali	y a l i
ezirina	e z i r i n a
okwamazima	o k w a m a z i m a
baaweebwa	b a a w e e b w a
yaawakati	y a a w a k a t i
yokutangiramu	y o k u t a n g i r a m u
asabye	a s a b y e
omusolo	o m u s o l o
kino	k i n o
embuzi	e m b u z i
muwadde	m u w a d d e
baki	b a k i
gwomukwano	g w o m u k w a n o
ewadde	e w a d d e
ajja	a j j a
kukozesebwa	k u k o z e s e b w a
kutegeerebwa	k u t e g e e r e b w a
kwolwo	k w o l w o
yagambibwa	y a g a m b i b w a
namasomero	n a m a s o m e r o
eno	e n o
bino	b i n o
ngagoba	n g a g o b a
mmubuuliremu	m m u b u u l i r e m u
ekito	e k i t o
gayitibwa	g a y i t i b w a
tolina	t o l i n a
sipiika	s i p i i k a
akwate	a k w a t e
baayitamu	b a a y i t a m u
okutondawo	o k u t o n d a w o
omulamuzi	o m u l a m u z i
munnabyabufuzi	m u n n a b y a b u f u z i
genda	g e n d a
muyizi	m u y i z i
okukolaganira	o k u k o l a g a n i r a
bwoku	b w o k u
baalumiziddwa	b a a l u m i z i d d w a
esaba	e s a b a
etadde	e t a d d e
anywako	a n y w a k o
nkulu	n k u l u
zange	z a n g e
ebika	e b i k a
buvudde	b u v u d d e
enseenene	e n s e e n e n e
kufuna	k u f u n a
okutema	o k u t e m a
kifuna	k i f u n a
kyokka	k y o k k a
ezitannabaweebwa	e z i t a n n a b a w e e b w a
erisooka	e r i s o o k a
gankuba	g a n k u b a
kwennyonnyolako	k w e n n y o n n y o l a k o
okutunulamu	o k u t u n u l a m u
tegeka	t e g e k a
lutalo	l u t a l o
bavubuka	b a v u b u k a
beeyunga	b e e y u n g a
nensero	n e n s e r o
bbeeyi	b b e e y i
enkya	e n k y a
baddembe	b a d d e m b e
emigaati	e m i g a a t i
bwobulimi	b w o b u l i m i
olwekirwadde	o l w e k i r w a d d e
lyemirimu	l y e m i r i m u
tulina	t u l i n a
simanyiiyo	s i m a n y i i y o
lyava	l y a v a
abafumbo	a b a f u m b o
nzijanjaba	n z i j a n j a b a
oliguze	o l i g u z e
yatwalibwa	y a t w a l i b w a
olunaku	o l u n a k u
mmalirizza	m m a l i r i z z a
yazaalibwa	y a z a a l i b w a
bavuganya	b a v u g a n y a
ssomero	s s o m e r o
lwobulungi	l w o b u l u n g i
okuteeka	o k u t e e k a
mwebale	m w e b a l e
kweyongera	k w e y o n g e r a
ekiva	e k i v a
amafuta	a m a f u t a
abasabye	a b a s a b y e
lubaale	l u b a a l e
obakyala	o b a k y a l a
longoosebwa	l o n g o o s e b w a
amawanga	a m a w a n g a
ludda	l u d d a
bazira	b a z i r a
wonna	w o n n a
lyabaana	l y a b a a n a
gwabalwadde	g w a b a l w a d d e
ndeeteraayo	n d e e t e r a a y o
obwamabalibwa	o b w a m a b a l i b w a
omuyizi	o m u y i z i
kwokka	k w o k k a
baawadde	b a a w a d d e
y’omulundi	y ’ o m u l u n d i
ssemateeka	s s e m a t e e k a
egendera	e g e n d e r a
memba	m e m b a
okugenda	o k u g e n d a
abakubaganyi	a b a k u b a g a n y i
ensaasaanya	e n s a a s a a n y a
yegulira	y e g u l i r a
ekyokukozesa	e k y o k u k o z e s a
nile	n i l e
